route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_route_type,route_pattern_id,bikes_allowed
Subway,Weekday,1,EB,360,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,2,EB,368,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,3,EB,376,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,4,EB,384,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,5,EB,392,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,6,EB,400,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,7,EB,408,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,8,EB,416,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,9,EB,424,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,10,EB,432,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,11,EB,440,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,12,EB,448,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,13,EB,456,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,14,EB,464,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,15,EB,472,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,16,EB,480,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,17,EB,488,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,18,EB,496,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,19,EB,504,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,20,EB,512,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,21,EB,520,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,22,EB,528,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,23,EB,536,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,24,EB,544,0,S931_-1,20,1,,Subway-1-0,1
Subway,Weekday,25,EB,552,0,S931_-1,20,1,,Subway-1-0,1
